Trial,Condition,Correct,RT
466,2,0,0.422
467,2,1,0.339
468,2,1,0.34
469,1,0,0.367
470,1,1,0.333
471,1,1,0.423
472,2,0,0.504
473,2,1,2.009
474,2,1,0.466
475,1,1,0.659
476,2,1,0.358
477,1,0,0.39
478,2,1,0.43
479,2,1,0.39
480,2,1,0.538
481,2,1,0.632
482,2,1,0.387
483,2,1,0.366
484,1,1,0.321
485,1,0,0.353
486,1,0,0.353
487,1,1,0.57
488,2,1,0.407
489,1,1,0.566
490,2,1,0.699
491,2,1,0.52
492,1,0,0.475
493,2,1,0.425
494,1,1,0.421
495,1,0,0.502
496,1,1,0.515
497,1,1,0.417
498,1,1,0.657
499,2,1,0.579
500,2,1,0.337
501,2,0,0.573
502,2,1,0.583
503,2,1,0.34
504,2,1,0.401
505,2,1,0.395
506,1,0,0.421
507,1,1,0.475
508,2,1,0.424
509,1,0,0.348
510,1,1,0.518
511,2,1,0.746
512,1,0,0.563
513,2,1,0.454
514,2,1,0.459
515,2,1,0.325
516,2,1,0.453
517,1,1,0.611
518,1,1,0.41
519,2,1,0.398
520,2,1,0.368
521,2,1,0.379
522,2,1,0.507
523,2,1,0.347
524,1,1,0.389
525,1,0,0.785
526,2,1,0.473
527,2,1,0.397
528,1,0,0.34
529,2,1,0.428
530,1,0,0.442
531,2,1,0.415
532,2,1,0.368
533,1,1,0.386
534,2,1,0.397
535,2,0,0.375
536,1,0,0.79
537,2,1,0.363
538,2,1,0.386
539,2,0,0.368
540,2,1,0.51
541,1,1,0.541
542,2,1,0.407
543,1,0,0.56
544,1,0,0.378
545,2,1,0.381
546,2,0,0.518
547,1,1,0.523
548,2,0,0.408
549,2,1,0.425
550,1,1,0.486
551,2,1,0.441
552,2,1,0.349
553,2,1,0.367
554,2,1,0.473
555,2,1,0.421
556,2,1,0.529
557,1,1,0.484
558,1,1,0.516
559,1,0,0.5
560,1,1,0.436
561,1,1,0.878
562,1,1,0.446
563,1,1,0.4
564,2,1,0.416
565,1,1,0.489
566,2,1,0.353
567,2,1,0.35
568,1,1,0.647
569,1,0,0.553
570,1,1,0.834
571,2,1,0.389
572,1,1,0.383
573,1,0,0.457
574,2,1,0.431
575,1,1,0.497
576,1,0,1.036
577,1,0,0.42
578,2,1,0.955
579,1,1,0.377
580,1,0,0.375
581,1,1,0.369
582,2,1,0.388
583,2,1,0.339
584,2,1,0.393
585,2,1,0.595
586,2,1,0.687
587,1,1,0.713
588,2,1,0.325
589,1,1,0.314
590,2,1,0.442
591,1,1,0.457
592,1,1,0.376
593,1,0,0.367
594,1,1,0.419
595,2,1,0.374
596,2,1,0.477
597,2,1,0.611
598,1,0,0.66
599,2,1,0.447
600,1,0,0.865
601,1,1,0.434
602,1,1,0.435
603,2,1,0.395
604,1,1,0.403
605,2,1,0.507
606,2,1,0.526
607,2,0,0.399
608,1,1,0.426
609,1,0,0.375
610,1,1,0.534
611,2,1,0.346
612,1,1,0.541
613,2,1,0.741
614,2,1,0.484
615,1,1,0.362
616,1,1,0.457
617,2,1,0.906
618,1,0,0.419
619,1,0,0.533
620,2,1,0.725
621,2,1,1.043
622,1,1,0.339
623,2,1,0.527
624,2,1,0.353
625,1,1,0.561
626,2,1,0.526
627,2,1,0.376
628,2,1,0.655
629,1,0,0.716
630,1,1,1.276
631,1,1,0.63
632,2,1,0.824
633,2,1,0.359
634,1,1,0.335
635,1,1,0.734
636,1,1,0.395
637,1,0,0.474
638,2,1,0.325
639,2,1,0.433
640,2,1,0.378
641,2,1,0.37
642,1,0,0.362
643,1,0,0.492
644,2,1,0.354
645,2,1,0.4
646,1,1,0.705
647,2,1,0.343
648,2,1,0.876
649,2,1,0.332
650,2,1,0.573
651,2,1,0.457
652,1,1,0.583
653,2,1,0.357
654,1,1,0.454
655,1,1,0.777
656,1,1,0.371
657,1,1,0.634
658,2,1,0.387
659,1,1,0.37
660,1,1,0.383
661,2,1,0.425
662,2,1,0.372
663,1,1,0.39
664,2,1,0.422
665,1,1,0.42
666,2,1,0.347
667,1,1,0.334
668,2,1,0.516
669,2,1,0.722
670,2,0,2.147
671,1,1,0.356
672,1,1,0.519
673,2,1,0.532
674,1,1,0.675
675,1,1,0.36
676,1,1,0.345
677,1,1,0.681
678,1,0,0.52
679,2,1,0.36
680,2,1,0.5
681,2,1,0.487
682,1,1,0.552
683,2,1,0.391
684,1,1,0.622
685,1,0,0.756
686,1,1,0.56
687,1,1,0.344
688,1,1,0.323
689,2,1,0.517
690,1,1,0.368
691,1,1,0.418
692,2,1,0.434
693,2,1,0.379
694,2,1,0.375
695,2,1,0.508
696,2,1,0.382
697,1,1,0.499
698,2,0,0.797
699,1,1,0.373
700,1,1,0.572
701,2,1,0.424
702,2,1,0.625
703,2,1,0.349
704,1,1,0.637
705,1,0,0.419
706,2,1,0.576
707,2,1,0.347
708,2,1,0.382
709,1,0,0.375
710,2,1,0.469
711,2,1,0.392
712,2,1,0.462
713,1,1,0.356
714,1,0,0.403
715,2,1,0.696
716,1,1,0.427
717,2,1,0.455
718,2,1,0.369
719,1,1,0.406
720,2,1,0.472
721,1,0,2.15
722,1,0,1.159
723,2,1,0.397
724,2,1,0.501
725,2,1,0.341
726,2,1,0.417
727,1,1,1.059
728,1,0,0.494
729,1,1,0.897
730,1,0,0.772
731,1,1,0.393
732,2,1,0.549
733,2,1,0.489
734,1,0,0.531
735,1,1,0.809
736,1,1,0.396
737,1,1,0.382
738,1,0,0.437
739,1,1,0.388
740,2,1,0.44
741,1,1,0.458
742,2,1,0.485
743,1,1,0.361
744,1,0,0.431
745,2,1,0.484
746,2,1,0.403
747,1,1,0.429
748,2,1,0.336
749,2,1,0.415
750,1,0,0.689
751,2,1,0.551
752,1,1,0.511
753,1,1,0.419
754,1,1,0.501
755,1,0,0.379
756,1,1,0.417
757,1,1,0.514
758,2,1,0.411
759,1,0,0.343
760,1,1,0.508
761,2,1,0.44
762,1,1,0.459
763,1,1,0.495
764,1,1,0.519
765,2,1,0.379
766,2,1,0.419
767,1,1,0.392
768,2,1,0.409
769,1,1,0.595
770,1,1,0.436
771,2,1,0.442
772,1,1,0.763
773,2,1,0.42
774,1,1,0.476
775,1,1,0.338
776,2,1,0.536
777,2,1,0.376
778,2,1,0.453
779,2,1,0.465
780,1,0,0.409
781,1,1,0.365
782,1,1,0.709
783,1,1,0.487
784,1,0,1.413
785,1,1,0.495
786,1,1,0.327
787,2,1,0.461
788,2,1,0.459
789,2,1,0.491
790,2,1,0.572
791,1,1,0.395
792,1,0,0.539
793,2,1,0.655
794,1,1,0.719
795,1,1,0.781
796,1,0,0.403
797,1,1,0.538
798,2,1,0.691
799,1,1,0.344
800,2,1,0.459
801,2,1,0.573
802,2,1,0.412
803,2,1,0.6
804,2,1,0.563
805,2,1,0.409
